AMOUNT,APPTXNMOD,AUTH_CODE_AC,BANK_NAME_2H,CARD_TYPE_CT,DATE_TIME_DT,INVOICE_IN,LAST4CARDNO,MRCHNT_ID_MID,PMS_MODULE,PMS_NUMBER,PMS_SYSTEM_DT,RESP_CODE_RC,RETRIEVAL_REF_NUM_RRN,SERVICE_PROVIDER_2H,TERM_ID_TID,TRANSAC_TYPE,ZONE
825,438362877877797395,-,NQRD,QRD,2025-02-01,-,0000,INDB,PWB BOOKING,1008622853,2025-02-01,S,229392656086,Master,QRD,RECPT,8
92,200809054793586250,,NQRD,QRD,2025-02-01,,0000,DWX,LT BOOKING,4002148350,2025-02-01,S,296313953194,Master,QRD,RECPT,8
11,95390260720053700,-,NQRD,QRD,2025-02-01,-,0000,ADI,PWB DELIVERY,9000295352,2025-02-01,S,298431759866,Master,QRD,RECPT,8
251,473114336573963745,-,NQRD,QRD,2025-02-03,-,0000,NWU,PWB BOOKING,2022220930,2025-02-03,S,404005317165,Master,QRD,RECPT,8
200,294287007481202901,-,NQRD,QRD,2025-02-03,-,0000,INDB,PWB DELIVERY,9000316730,2025-02-03,S,404595485980,Master,QRD,RECPT,8
1984,301261693614615365,-,NQRD,QRD,2025-02-01,-,0000,BRC,PWB BOOKING,2022202919,2025-02-01,S,443520745416,Master,QRD,RECPT,8
2754,949869449882652220,-,NQRD,QRD,2025-02-03,-,0000,RTM,PWB BOOKING,2022218983,2025-02-03,S,478519396453,Master,QRD,RECPT,8
6,595814925372577508,-,NQRD,QRD,2025-02-03,-,0000,ADI,PWB DELIVERY,9000316653,2025-02-03,S,478992946731,Master,QRD,RECPT,8
2020,876666461733467281,-,NQRD,QRD,2025-02-01,-,0000,RJT,PWB BOOKING,1008625668,2025-02-01,S,479580333282,Master,QRD,RECPT,8
3,199452442549623320,-,NQRD,QRD,2025-02-02,-,0000,NMH,PWB BOOKING,1008626105,2025-02-02,S,231202728836,Master,QRD,RECPT,8
258,171305834190063471,-,NQRD,QRD,2025-02-03,-,0000,INDB,PWB BOOKING,2022222391,2025-02-03,S,232333239009,Master,QRD,RECPT,8
395,683675472733532082,-,NQRD,QRD,2025-02-01,-,0000,RTM,PWB BOOKING,2022208171,2025-02-01,S,232440582221,Master,QRD,RECPT,8
1201,750659018580789977,-,NQRD,QRD,2025-02-02,-,0000,UJN,PWB BOOKING,1008628626,2025-02-02,S,232910189282,Master,QRD,RECPT,8
1915,92236213760539558,-,NQRD,QRD,2025-02-02,-,0000,INDB,PWB BOOKING,2022210301,2025-02-02,S,266363993991,Master,QRD,RECPT,8
609,793815040180733809,-,NQRD,QRD,2025-02-01,-,0000,NDB,PWB BOOKING,2022207174,2025-02-01,S,266437681866,Master,QRD,RECPT,8
3638,440663566267396978,-,NQRD,QRD,2025-02-01,-,0000,COR,PWB BOOKING,2022206393,2025-02-01,S,332551964135,Master,QRD,RECPT,8
749,627572397302647928,-,NQRD,QRD,2025-02-02,-,0000,INDB,PWB BOOKING,1008626855,2025-02-02,S,369594613427,Master,QRD,RECPT,8
2475,78410867558798111,,NQRD,QRD,2025-02-01,,0000,ST,LT BOOKING,4002148589,2025-02-01,S,406513129305,Master,QRD,RECPT,8
1349,355319339616446238,-,NQRD,QRD,2025-02-02,-,0000,BDTS,PWB BOOKING,2022210521,2025-02-02,S,407750082633,Master,QRD,RECPT,8
305,271371103251259819,-,NQRD,QRD,2025-02-02,-,0000,RTM,PWB BOOKING,2022209345,2025-02-02,S,408052204829,Master,QRD,RECPT,8
3610,345935061801229435,-,NQRD,QRD,2025-02-03,-,0000,UJN,PWB BOOKING,2022218543,2025-02-03,S,445413519716,Master,QRD,RECPT,8
254,445323806498197497,-,NQRD,QRD,2025-02-02,-,0000,UJN,PWB BOOKING,2022210413,2025-02-02,S,481849210522,Master,QRD,RECPT,8
8,581207162886959354,-,NQRD,QRD,2025-02-03,-,0000,BL,PWB DELIVERY,9000321672,2025-02-03,S,482677122015,Master,QRD,RECPT,8
3,126817434208953205,-,NQRD,QRD,2025-02-02,-,0000,UJN,PWB BOOKING,1008628988,2025-02-02,S,483718473976,Master,QRD,RECPT,8
2042,749543609779854630,-,NQRD,QRD,2025-02-02,-,0000,UJN,PWB BOOKING,2022213496,2025-02-02,S,233914854796,Master,QRD,RECPT,8
11,395872189843715427,-,NQRD,QRD,2025-02-02,-,0000,DDR,PWB DELIVERY,9000309030,2025-02-02,S,268962303827,Master,QRD,RECPT,8
251,32323435864931034,-,NQRD,QRD,2025-02-03,-,0000,NWU,PWB BOOKING,2022221005,2025-02-03,S,370010648185,Master,QRD,RECPT,8
81,690355805124602709,-,NQRD,QRD,2025-02-02,-,0000,NDB,PWB BOOKING,2022214916,2025-02-02,S,485786334594,Master,QRD,RECPT,8
729,94190026798775485,-,NQRD,QRD,2025-02-02,-,0000,UJN,PWB BOOKING,1008627703,2025-02-02,S,235081021449,Master,QRD,RECPT,8
2453,687749803604410140,,NQRD,QRD,2025-02-03,,0000,PNU,LT BOOKING,4002151055,2025-02-03,S,235344424488,Master,QRD,RECPT,8
3,669565798277177310,-,NQRD,QRD,2025-02-03,-,0000,UJN,PWB BOOKING,2022222627,2025-02-03,S,235382792552,Master,QRD,RECPT,8
166,425455086123801206,-,NQRD,QRD,2025-02-03,-,0000,MDS,PWB BOOKING,2022216316,2025-02-03,S,236211535140,Master,QRD,RECPT,8
11321,412684877506821297,-,NQRD,QRD,2025-02-01,-,0000,OKHA,PWB BOOKING,2022200978,2025-02-01,S,270190117624,Master,QRD,RECPT,8
545,499703771417161285,-,NQRD,QRD,2025-02-03,-,0000,UJN,PWB BOOKING,2022218559,2025-02-03,S,302680145012,Master,QRD,RECPT,8
1226,920917993325098815,-,NQRD,QRD,2025-02-03,-,0000,NMH,PWB BOOKING,1008630403,2025-02-03,S,372735290371,Master,QRD,RECPT,8
46,414863406213286131,-,NQRD,QRD,2025-02-03,-,0000,BL,PWB BOOKING,1008630456,2025-02-03,S,485912647573,Master,QRD,RECPT,8
128,655251251115046357,-,NQRD,QRD,2025-02-02,-,0000,UJN,PWB BOOKING,2022213211,2025-02-02,S,486509146898,Master,QRD,RECPT,8
2822,602463814195640529,-,NQRD,QRD,2025-02-01,-,0000,UJN,PWB BOOKING,2022205869,2025-02-01,S,486978097255,Master,QRD,RECPT,8
151,61798266887829853,-,NQRD,QRD,2025-02-02,-,0000,INDB,PWB BOOKING,2022210614,2025-02-02,S,239601460824,Master,QRD,RECPT,8
67,596230756890893393,-,NQRD,QRD,2025-02-03,-,0000,BDTS,PWB BOOKING,1008630363,2025-02-03,S,338993711722,Master,QRD,RECPT,8
3,249171785243764935,-,NQRD,QRD,2025-02-02,-,0000,UJN,PWB BOOKING,2022215303,2025-02-02,S,375280602605,Master,QRD,RECPT,8
336,981698293209953744,-,NQRD,QRD,2025-02-02,-,0000,DHD,PWB BOOKING,2022214141,2025-02-02,S,375783928061,Master,QRD,RECPT,8
38,388466845753079408,-,NQRD,QRD,2025-02-03,-,0000,UJN,PWB BOOKING,2022216792,2025-02-03,S,376473459504,Master,QRD,RECPT,8
1278,872891467544863022,-,NQRD,QRD,2025-02-01,-,0000,BDTS,PWB BOOKING,2022202246,2025-02-01,S,414601021559,Master,QRD,RECPT,8
533,631731409249787116,-,NQRD,QRD,2025-02-03,-,0000,GIMB,PWB BOOKING,1008630712,2025-02-03,S,415255376564,Master,QRD,RECPT,8
621,528046550625894725,-,NQRD,QRD,2025-02-01,-,0000,DHD,PWB BOOKING,2022203902,2025-02-01,S,451293732608,Master,QRD,RECPT,8
3,361731361260883492,-,NQRD,QRD,2025-02-02,-,0000,NMH,PWB BOOKING,1008626192,2025-02-02,S,488424449288,Master,QRD,RECPT,8
140,255772828647790793,-,NQRD,QRD,2025-02-03,-,0000,INDB,PWB BOOKING,2022219608,2025-02-03,S,240538148523,Master,QRD,RECPT,8
3,411584196187153294,-,NQRD,QRD,2025-02-01,-,0000,UJN,PWB BOOKING,1008625926,2025-02-01,S,240589704640,Master,QRD,RECPT,8
155,205032490855852631,-,NQRD,QRD,2025-02-01,-,0000,INDB,PWB DELIVERY,9000293520,2025-02-01,S,274754910632,Master,QRD,RECPT,8
705,854573765250824410,-,NQRD,QRD,2025-02-02,-,0000,BDTS,PWB BOOKING,2022210574,2025-02-02,S,341372589279,Master,QRD,RECPT,8
6443,260544637142159277,-,NQRD,QRD,2025-02-03,-,0000,COR,PWB BOOKING,2022221795,2025-02-03,S,379752144783,Master,QRD,RECPT,8
92,487768683533965289,-,NQRD,QRD,2025-02-03,-,0000,BDTS,PWB BOOKING,1008629815,2025-02-03,S,415652417622,Master,QRD,RECPT,8
21,670399000376469153,-,NQRD,QRD,2025-02-03,-,0000,ADI,PWB DELIVERY,9000323709,2025-02-03,S,416245540488,Master,QRD,RECPT,8
26,92563328155897000,-,NQRD,QRD,2025-02-01,-,0000,GIMB,PWB DELIVERY,9000297837,2025-02-01,S,416353234440,Master,QRD,RECPT,8
150,593916125681878115,-,NQRD,QRD,2025-02-01,-,0000,INDB,PWB BOOKING,2022202908,2025-02-01,S,490321005307,Master,QRD,RECPT,8
1712,96143730723813303,-,NQRD,QRD,2025-02-01,-,0000,INDB,PWB BOOKING,2022207041,2025-02-01,S,491047477500,Master,QRD,RECPT,8
42,138306417630271923,,NQRD,QRD,2025-02-01,,0000,NMH,LT BOOKING,4002148837,2025-02-01,S,491938869544,Master,QRD,RECPT,8
657,9397844376620102,-,NQRD,QRD,2025-02-02,-,0000,RTM,PWB BOOKING,2022213439,2025-02-02,S,208939040676,Master,QRD,RECPT,8
443,287404866228022603,-,NQRD,QRD,2025-02-03,-,0000,BDTS,PWB BOOKING,2022220350,2025-02-03,S,242767018833,Master,QRD,RECPT,8
942,347325672696849221,-,NQRD,QRD,2025-02-01,-,0000,PNU,PWB BOOKING,2022205280,2025-02-01,S,243214417173,Master,QRD,RECPT,8
976,594240183655521546,-,NQRD,QRD,2025-02-02,-,0000,COR,PWB BOOKING,2022214122,2025-02-02,S,244448501759,Master,QRD,RECPT,8
626,668286681244609805,-,NQRD,QRD,2025-02-03,-,0000,NAD,PWB BOOKING,2022219028,2025-02-03,S,275284216211,Master,QRD,RECPT,8
2117,619716960687568287,-,NQRD,QRD,2025-02-01,-,0000,RTM,PWB BOOKING,1008625101,2025-02-01,S,275680591595,Master,QRD,RECPT,8
3,803186716702819017,-,NQRD,QRD,2025-02-03,-,0000,UJN,PWB BOOKING,1008632445,2025-02-03,S,276684697813,Master,QRD,RECPT,8
14,373876474461891351,-,NQRD,QRD,2025-02-02,-,0000,BRC,PWB DELIVERY,9000307857,2025-02-02,S,342669208050,Master,QRD,RECPT,8
1336,826091333755480737,-,NQRD,QRD,2025-02-03,-,0000,NAD,PWB BOOKING,1008631215,2025-02-03,S,343603917493,Master,QRD,RECPT,8
185,619834280303429689,-,NQRD,QRD,2025-02-03,-,0000,UJN,PWB BOOKING,1008631866,2025-02-03,S,380305136357,Master,QRD,RECPT,8
593,818520276483828771,,NQRD,QRD,2025-02-01,,0000,VAPI,LT BOOKING,3001188458,2025-02-01,S,380890894218,Master,QRD,RECPT,8
407,331181377578084442,,NQRD,QRD,2025-02-02,,0000,MSH,LT BOOKING,4002149203,2025-02-02,S,419821707194,Master,QRD,RECPT,8
863,825919295498715139,-,NQRD,QRD,2025-02-01,-,0000,GIMB,PWB BOOKING,2022205747,2025-02-01,S,453996520856,Master,QRD,RECPT,8
141,560269409693511621,-,NQRD,QRD,2025-02-03,-,0000,RTM,PWB BOOKING,1008629836,2025-02-03,S,456094469832,Master,QRD,RECPT,8
79,409495410491456003,-,NQRD,QRD,2025-02-02,-,0000,UJN,PWB BOOKING,1008628630,2025-02-02,S,456340508235,Master,QRD,RECPT,8
1356,565201485626283722,-,NQRD,QRD,2025-02-01,-,0000,RTM,PWB BOOKING,1008624764,2025-02-01,S,210475964200,Master,QRD,RECPT,8
650,552377804185497102,-,NQRD,QRD,2025-02-02,-,0000,UJN,PWB BOOKING,2022214455,2025-02-02,S,210578242015,Master,QRD,RECPT,8
1017,883268623880848215,-,NQRD,QRD,2025-02-03,-,0000,RTM,PWB BOOKING,1008631766,2025-02-03,S,244654105135,Master,QRD,RECPT,8
460,143801056320739643,,NQRD,QRD,2025-02-03,,0000,RTM,LT BOOKING,3001190115,2025-02-03,S,245463832777,Master,QRD,RECPT,8
3,552202334582680281,-,NQRD,QRD,2025-02-03,-,0000,NMH,PWB BOOKING,1008629187,2025-02-03,S,278069534822,Master,QRD,RECPT,8
1139,642177410316047978,-,NQRD,QRD,2025-02-01,-,0000,INDB,PWB BOOKING,2022202767,2025-02-01,S,345166689041,Master,QRD,RECPT,8
157,924318155493811879,-,NQRD,QRD,2025-02-02,-,0000,NAD,PWB BOOKING,2022212648,2025-02-02,S,384379364270,Master,QRD,RECPT,8
966,621368143278222375,-,NQRD,QRD,2025-02-03,-,0000,RJT,PWB DELIVERY,9000317607,2025-02-03,S,422340787511,Master,QRD,RECPT,8
1430,700638693110759549,-,NQRD,QRD,2025-02-02,-,0000,INDB,PWB BOOKING,1008628043,2025-02-02,S,422749748762,Master,QRD,RECPT,8
926,710769211849169782,,NQRD,QRD,2025-02-01,,0000,VAPI,LT BOOKING,3001188456,2025-02-01,S,457401730610,Master,QRD,RECPT,8
616,541160648751395646,-,NQRD,QRD,2025-02-03,-,0000,BHUJ,PWB BOOKING,1008631209,2025-02-03,S,458961272048,Master,QRD,RECPT,8
6,368681798617697173,-,NQRD,QRD,2025-02-01,-,0000,ADI,PWB DELIVERY,9000295441,2025-02-01,S,211981443541,Master,QRD,RECPT,8
110,673927262533089117,-,NQRD,QRD,2025-02-03,-,0000,RTM,PWB BOOKING,2022220269,2025-02-03,S,212274631416,Master,QRD,RECPT,8
655,859351765547434325,-,NQRD,QRD,2025-02-03,-,0000,NDB,PWB BOOKING,1008630940,2025-02-03,S,212947516309,Master,QRD,RECPT,8
294,730965487140557398,-,NQRD,QRD,2025-02-01,-,0000,INDB,PWB BOOKING,2022203280,2025-02-01,S,282063645775,Master,QRD,RECPT,8
49,200769470590152384,-,NQRD,QRD,2025-02-03,-,0000,UJN,PWB BOOKING,1008630909,2025-02-03,S,313147134624,Master,QRD,RECPT,8
1718,153781453737754932,-,NQRD,QRD,2025-02-02,-,0000,RTM,PWB BOOKING,2022210751,2025-02-02,S,348972961251,Master,QRD,RECPT,8
585,18552436932330371,-,NQRD,QRD,2025-02-01,-,0000,INDB,PWB BOOKING,1008623665,2025-02-01,S,386152431700,Master,QRD,RECPT,8
32,986731791739187364,-,NQRD,QRD,2025-02-01,-,0000,INDB,PWB BOOKING,2022205071,2025-02-01,S,386946185766,Master,QRD,RECPT,8
117,980122091101785794,-,NQRD,QRD,2025-02-03,-,0000,BDTS,PWB BOOKING,1008631398,2025-02-03,S,216710736477,Master,QRD,RECPT,8
317,753518870553927094,-,NQRD,QRD,2025-02-02,-,0000,BDTS,PWB BOOKING,2022211022,2025-02-02,S,248711926218,Master,QRD,RECPT,8
205,447229244825915141,,NQRD,QRD,2025-02-02,,0000,MDS,LT BOOKING,3001189366,2025-02-02,S,250113181074,Master,QRD,RECPT,8
48,14667101536465552,-,NQRD,QRD,2025-02-02,-,0000,MDS,PWB BOOKING,2022213421,2025-02-02,S,251076086607,Master,QRD,RECPT,8
3,399646868651676291,-,NQRD,QRD,2025-02-01,-,0000,UJN,PWB BOOKING,1008625927,2025-02-01,S,283026209604,Master,QRD,RECPT,8
237,392956079680761941,,NQRD,QRD,2025-02-02,,0000,BVI,LT BOOKING,4002149949,2025-02-02,S,315754907523,Master,QRD,RECPT,8
507,24303932779248753,-,NQRD,QRD,2025-02-01,-,0000,BL,PWB BOOKING,2022207462,2025-02-01,S,349918876133,Master,QRD,RECPT,8
567,936802416597423573,-,NQRD,QRD,2025-02-01,-,0000,DDR,PWB DELIVERY,9000296163,2025-02-01,S,350280374763,Master,QRD,RECPT,8
97,453149751466406715,-,NQRD,QRD,2025-02-03,-,0000,UJN,PWB BOOKING,1008631620,2025-02-03,S,387361029594,Master,QRD,RECPT,8
2138,156963228233489011,-,NQRD,QRD,2025-02-01,-,0000,BDTS,PWB BOOKING,2022203178,2025-02-01,S,388779865517,Master,QRD,RECPT,8
336,823736520203814882,-,NQRD,QRD,2025-02-03,-,0000,UDN,PWB DELIVERY,9000320289,2025-02-03,S,427266363764,Master,QRD,RECPT,8
1544,25207972191954371,-,NQRD,QRD,2025-02-03,-,0000,ST,PWB BOOKING,2022217634,2025-02-03,S,462459047534,Master,QRD,RECPT,8
812,843994162602217214,-,NQRD,QRD,2025-02-03,-,0000,RTM,PWB BOOKING,1008631730,2025-02-03,S,462500691252,Master,QRD,RECPT,8
395,943838193671988036,-,NQRD,QRD,2025-02-02,-,0000,UDN,PWB BOOKING,2022213749,2025-02-02,S,463164514441,Master,QRD,RECPT,8
558,588721161169588342,-,NQRD,QRD,2025-02-02,-,0000,INDB,PWB BOOKING,2022213646,2025-02-02,S,464333206546,Master,QRD,RECPT,8
200,23686446743982200,-,NQRD,QRD,2025-02-03,-,0000,RTM,PWB DELIVERY,9000317332,2025-02-03,S,219066333623,Master,QRD,RECPT,8
389,679151667584061784,-,NQRD,QRD,2025-02-02,-,0000,UJN,PWB BOOKING,2022213155,2025-02-02,S,316585281708,Master,QRD,RECPT,8
74,956771746736755970,-,NQRD,QRD,2025-02-01,-,0000,BRC,PWB BOOKING,2022201655,2025-02-01,S,352074833782,Master,QRD,RECPT,8
818,90983671935584857,-,NQRD,QRD,2025-02-02,-,0000,INDB,PWB BOOKING,2022213081,2025-02-02,S,353734972396,Master,QRD,RECPT,8
462,317348746193130288,-,NQRD,QRD,2025-02-03,-,0000,ADI,PWB DELIVERY,9000316832,2025-02-03,S,389455385910,Master,QRD,RECPT,8
488,379352610474515666,-,NQRD,QRD,2025-02-02,-,0000,RTM,PWB BOOKING,2022209337,2025-02-02,S,389972770267,Master,QRD,RECPT,8
1841,103483819513509920,-,NQRD,QRD,2025-02-02,-,0000,BDTS,PWB BOOKING,2022210892,2025-02-02,S,391125944158,Master,QRD,RECPT,8
